[시트: 세진건재_가상카드_2분기]
세진건재_가상카드_2분기
가맹점·회원: 세진건재상사  (999-81-00055)
조회기간: 2026.04.01 ~ 2026.06.30
구분: 매출(단말기 승인) / 매입(법인카드 사용)
단위: 원 (VAT 포함)
승인일	구분	가맹점/거래처	금액	카드사
2026-04-02	매출	손님결제	213,000	가상카드
2026-04-05	매출	가상문구	33,000	가상카드
2026-04-05	매출	손님결제	133,000	가상카드
2026-04-16	매출	손님결제	226,000	가상카드
2026-04-18	매출	가상문구	242,000	가상카드
2026-04-23	매입	가상통신	370,000	가상카드
2026-05-14	매입	가상마트	115,000	가상카드
2026-05-18	매입	손님결제	131,000	가상카드
2026-05-22	매출	가상마트	101,000	가상카드
2026-05-24	매출	가상통신	15,000	가상카드
2026-05-27	매출	손님결제	349,000	가상카드
2026-06-04	매입	가상문구	211,000	가상카드
2026-06-14	매출	가상마트	298,000	가상카드
2026-06-18	매출	가상문구	154,000	가상카드
2026-06-19	매출	가상주유소	378,000	가상카드
2026-06-20	매출	가상마트	372,000	가상카드
2026-06-20	매출	손님결제	368,000	가상카드
※ 부가세 신고용 카드 매출·매입 집계 자료
