[시트: 한빛나루_가상카드_1분기]
한빛나루_가상카드_1분기
가맹점·회원: 한빛나루  (999-81-00011)
조회기간: 2026.01.01 ~ 2026.03.31
구분: 매출(단말기 승인) / 매입(법인카드 사용)
단위: 원 (VAT 포함)
승인일	구분	가맹점/거래처	금액	카드사
2026-01-06	매입	가상문구	93,000	가상카드
2026-01-06	매출	가상주유소	25,000	가상카드
2026-01-09	매출	손님결제	337,000	가상카드
2026-01-10	매출	손님결제	101,000	가상카드
2026-01-12	매입	손님결제	53,000	가상카드
2026-01-25	매출	손님결제	109,000	가상카드
2026-01-27	매입	손님결제	382,000	가상카드
2026-02-10	매입	가상문구	339,000	가상카드
2026-02-13	매출	가상문구	44,000	가상카드
2026-02-20	매입	가상통신	288,000	가상카드
2026-02-21	매출	가상주유소	114,000	가상카드
2026-02-22	매출	가상주유소	292,000	가상카드
2026-02-28	매출	손님결제	63,000	가상카드
2026-03-06	매입	가상문구	151,000	가상카드
2026-03-09	매입	가상통신	338,000	가상카드
2026-03-12	매출	가상주유소	131,000	가상카드
2026-03-13	매출	손님결제	67,000	가상카드
2026-03-25	매입	손님결제	251,000	가상카드
2026-03-28	매입	손님결제	29,000	가상카드
※ 부가세 신고용 카드 매출·매입 집계 자료
